index,flywire_id,rate
1893,720575940605420902,0.5666666666666667
2025,720575940605513649,6.033333333333333
2206,720575940605658033,24.4
2261,720575940605682790,18.166666666666668
3309,720575940606391218,1.1333333333333333
3502,720575940606607234,19.0
3758,720575940606852018,1.8
3777,720575940606866377,85.96666666666667
4201,720575940607193986,44.63333333333333
4346,720575940607272649,69.03333333333333
4519,720575940607386290,33.733333333333334
4523,720575940607387314,0.26666666666666666
4599,720575940607451081,39.43333333333333
4885,720575940607689394,15.766666666666667
5413,720575940608188427,0.16666666666666666
5581,720575940608349379,7.5
5768,720575940608498780,32.0
6108,720575940608735241,29.9
6594,720575940609016843,7.1
6770,720575940609133269,28.6
7186,720575940609405635,34.733333333333334
7191,720575940609407939,48.56666666666667
7837,720575940609915204,42.6
7865,720575940609935172,19.066666666666666
7875,720575940609939780,23.766666666666666
7964,720575940609993284,24.766666666666666
7973,720575940610000964,27.433333333333334
7974,720575940610001220,12.866666666666667
8055,720575940610054980,83.7
8067,720575940610058052,0.36666666666666664
8311,720575940610232274,16.566666666666666
8346,720575940610258552,39.13333333333333
8970,720575940610611246,15.366666666666667
8990,720575940610621026,2.2666666666666666
9120,720575940610677828,58.13333333333333
9397,720575940610803554,40.266666666666666
9621,720575940610916465,44.333333333333336
9837,720575940611015122,49.53333333333333
10145,720575940611151406,13.866666666666667
10175,720575940611160930,36.6
10186,720575940611164770,18.733333333333334
10670,720575940611366058,12.9
10839,720575940611436408,31.3
11126,720575940611548878,51.833333333333336
11130,720575940611549902,28.4
11916,720575940611875570,194.96666666666667
12180,720575940611988197,8.833333333333334
12299,720575940612036837,35.4
12380,720575940612064113,80.66666666666667
12622,720575940612154339,0.7333333333333333
12762,720575940612208858,13.533333333333333
12971,720575940612289010,16.933333333333334
13171,720575940612357618,11.733333333333333
13394,720575940612423922,73.96666666666667
13588,720575940612479205,16.9
13761,720575940612537061,5.166666666666667
13843,720575940612558061,35.36666666666667
13906,720575940612574435,0.06666666666666667
13996,720575940612603289,0.5666666666666667
14013,720575940612611301,84.43333333333334
14146,720575940612648106,28.633333333333333
14231,720575940612670570,194.03333333333333
14312,720575940612692633,63.1
14546,720575940612766515,7.2
14833,720575940612865814,5.0
14834,720575940612866410,0.03333333333333333
14911,720575940612888178,41.8
14956,720575940612906518,88.83333333333333
15132,720575940612952557,20.966666666666665
15284,720575940613004402,27.266666666666666
16129,720575940613347299,33.43333333333333
16961,720575940613670893,27.9
17005,720575940613687789,46.0
17136,720575940613743569,2.1666666666666665
17632,720575940613929391,39.56666666666667
17673,720575940613943215,27.233333333333334
18204,720575940614128691,28.6
19122,720575940614386070,0.5333333333333333
19403,720575940614465478,0.03333333333333333
20074,720575940614660519,30.466666666666665
20376,720575940614730914,11.633333333333333
20501,720575940614763666,94.9
20947,720575940614909506,0.36666666666666664
21319,720575940615041430,124.8
21349,720575940615052812,19.9
21686,720575940615153494,6.1
22128,720575940615296818,32.46666666666667
22873,720575940615564959,6.066666666666666
22919,720575940615582111,7.0
23054,720575940615623867,7.933333333333334
23207,720575940615671106,92.43333333333334
23357,720575940615715003,2.0
23667,720575940615811670,11.433333333333334
24364,720575940616018956,87.46666666666667
24660,720575940616103218,92.93333333333334
25870,720575940616466260,59.733333333333334
26492,720575940616644411,30.7
27216,720575940616857174,54.4
27235,720575940616860758,3.7666666666666666
27245,720575940616864086,36.8
27246,720575940616864217,52.86666666666667
27293,720575940616885538,197.3
27680,720575940617000768,193.5
28959,720575940617373268,9.066666666666666
29421,720575940617488477,14.266666666666667
29454,720575940617494877,17.933333333333334
29700,720575940617552057,48.06666666666667
29845,720575940617588258,40.666666666666664
29863,720575940617593233,74.06666666666666
30021,720575940617629841,57.766666666666666
30191,720575940617672920,1.1333333333333333
31392,720575940617937543,199.4
32398,720575940618153105,1.1333333333333333
