index,flywire_id,rate
2025,720575940605513649,3.6666666666666665
2206,720575940605658033,18.8
2261,720575940605682790,11.9
3502,720575940606607234,14.066666666666666
3758,720575940606852018,0.3
3777,720575940606866377,52.2
4201,720575940607193986,28.933333333333334
4305,720575940607250610,0.13333333333333333
4346,720575940607272649,41.96666666666667
4519,720575940607386290,13.766666666666667
4599,720575940607451081,29.266666666666666
4885,720575940607689394,3.1333333333333333
5581,720575940608349379,3.466666666666667
5768,720575940608498780,17.566666666666666
6108,720575940608735241,14.133333333333333
6594,720575940609016843,3.466666666666667
6770,720575940609133269,10.833333333333334
7186,720575940609405635,15.533333333333333
7191,720575940609407939,32.266666666666666
7837,720575940609915204,23.166666666666668
7865,720575940609935172,13.466666666666667
7875,720575940609939780,12.5
7964,720575940609993284,19.6
7973,720575940610000964,13.233333333333333
7974,720575940610001220,5.0
8055,720575940610054980,51.13333333333333
8067,720575940610058052,0.06666666666666667
8217,720575940610173048,0.2
8311,720575940610232274,6.833333333333333
8346,720575940610258552,21.833333333333332
8970,720575940610611246,6.4
8990,720575940610621026,3.533333333333333
9120,720575940610677828,32.13333333333333
9397,720575940610803554,18.366666666666667
9621,720575940610916465,15.3
9837,720575940611015122,8.2
10145,720575940611151406,1.3
10175,720575940611160930,21.5
10186,720575940611164770,7.8
10670,720575940611366058,0.6333333333333333
10839,720575940611436408,16.833333333333332
11126,720575940611548878,29.333333333333332
11130,720575940611549902,6.666666666666667
11643,720575940611772083,0.03333333333333333
11916,720575940611875570,99.26666666666667
12180,720575940611988197,1.3333333333333333
12299,720575940612036837,36.2
12380,720575940612064113,47.5
12762,720575940612208858,8.666666666666666
12971,720575940612289010,3.1333333333333333
13171,720575940612357618,10.833333333333334
13394,720575940612423922,48.3
13588,720575940612479205,1.0333333333333334
13761,720575940612537061,1.5333333333333334
13843,720575940612558061,21.733333333333334
13996,720575940612603289,2.3666666666666667
14013,720575940612611301,54.1
14146,720575940612648106,0.36666666666666664
14231,720575940612670570,98.0
14312,720575940612692633,44.9
14546,720575940612766515,3.466666666666667
14833,720575940612865814,0.03333333333333333
14911,720575940612888178,24.233333333333334
14956,720575940612906518,60.53333333333333
15132,720575940612952557,6.733333333333333
15284,720575940613004402,14.0
16129,720575940613347299,22.066666666666666
16961,720575940613670893,11.1
17005,720575940613687789,23.5
17136,720575940613743569,2.8
17632,720575940613929391,17.066666666666666
